	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
CD8+ Tcm	1388.26967634264	740.661131269409	2071.31701840914	1553.76482009875	504.119320275272	317.414340968909	1285.08590623168	800.828686770138	2195.51125952661	1654.58435608712	714.646860243078	369.078695119726	1225.18763219044	592.738819866671	2231.68490552901	1568.60679112288	726.483997602224	365.75965834394	1349.69937927364	2278.11738346923	233.869771484265	1354.96638968167	2255.25219326903	497.332097176626	1503.74732389085	2247.4216023959	483.102926039633	1163.21293308472	2203.23715418074	251.988289110342	1263.56772511479	2106.51059681465	203.621304225903	1120.51780861457	1862.90041425193	331.692163296129	1287.64448983452	2325.88900412782	316.049811060823	1157.1688396768	2171.75231520849	452.240408815618	1321.5493283459	2162.60936283827	370.405359636243	1226.98432917917	2144.78462421615	228.834083458738	1454.18743962173	2096.78788059816	205.625388171228
CD8+ Tem	1761.38662196592	189.245790696494	2905.54015672077	476.745280274328	401.552087588048	906.487494228653	2175.0796335899	515.499205612037	3041.10035605525	742.005068339048	672.68280195708	964.87827694337	1657.02116582499	353.533006045862	2980.5761915684	706.56480223395	527.796411453713	935.910063729753	2479.89147898929	2868.25708547423	1082.84472193768	2293.90482372912	2881.94684425226	1444.70006453558	2484.25495520523	2787.617499531	1003.91171743374	2337.7102947449	2712.07089299722	922.265353568596	1616.3226641155	2592.97202478074	752.685480678479	1950.12380158002	2794.80382524552	882.195271190515	2184.65626099446	2803.32532793642	1057.23671415271	1633.00974817846	2860.58938301818	1020.13187534621	2111.34931244347	2894.27942532257	1367.17966780589	1413.16842382666	2827.89683124598	931.493216935771	1950.80629117451	2700.89416981128	1010.25532840333
CD8+ naive T-cells	448.316673940042	622.633324688329	622.528567951642	944.989219991433	341.339152473079	373.330733407967	341.932559394993	324.253383328346	730.213794115545	828.102743961722	409.699013093404	383.338290317362	372.614010088482	390.792798509306	702.813867496885	818.926850547863	494.379897101375	411.21470681003	347.26976903927	884.878838530023	490.795404958019	405.943048319935	817.095185165585	423.935041867398	642.149903725713	1169.11159932644	410.087178399419	381.672778435926	750.384867332952	401.460575759577	496.416892043616	576.861698561576	389.738509790078	248.193660471317	654.232048424044	231.636627042674	389.150206692312	853.175011556412	249.564604695015	343.099582527883	650.305407661056	331.907383190091	240.97621346149	551.27435361425	344.431910844527	219.355155278676	665.707549623543	311.087099048409	100.400392798149	581.505491549732	4.87905296049636
CLP	494.755997124293	989.894903078978	366.174720733553	724.280623885933	161.351214170288	480.725265202126	487.295664706491	384.824021143929	551.041629605456	620.062919152073	443.173733492225	553.263180870541	667.925459835001	713.076391583775	406.141161389794	754.217977533574	693.006129457248	464.03066145096	416.517272149201	578.873365495061	661.137697697832	521.306145412571	578.139689760187	665.216091291314	505.196743957334	707.634857457214	574.337173575839	393.22781063852	432.542691474138	411.157855981922	707.695480523808	250.228821578816	672.115729240712	379.36936797951	300.692546114515	189.26814740563	250.846904631464	500.549282071927	508.063839628236	392.411912123225	217.870608795788	252.869746965565	281.835344071448	225.168449061306	355.186465845842	313.056165738839	350.311598047333	444.73468221026	4.03085124272123	200.725184098533	255.135030839734
CMP	383.960108502123	399.901988174577	330.605664968559	285.77357643226	388.867548334595	404.614924729442	464.559273409716	361.495407151564	322.780204187876	457.231992816598	437.419795115501	380.079816360057	530.459037974806	445.24141589959	322.719935892928	403.483305355209	612.412428605323	620.381257399118	374.04734148234	334.91638476379	414.754618867016	315.101295783635	419.598823874336	368.044032146788	256.533678733885	428.195215992659	615.66768535547	478.293966658075	293.907339870031	551.664346838199	449.678775892638	288.592419747583	475.349720497714	295.072094610848	420.520000334278	499.934466031465	229.135685670626	446.2668548555	534.460257393463	388.05214389971	385.590268796304	348.915883248427	461.861709955518	478.509112661832	349.176145764623	335.811861484317	474.676598101503	436.304403601125	367.007373469961	553.936669127724	245.15672994129
Chondrocytes	403.671341495777	409.004040364278	247.10860951359	313.404288321335	262.617515894276	311.661398200737	315.183149389899	438.942009310892	311.717703136009	403.92460715809	408.210333208634	247.039737598496	273.939069894729	477.517777467573	223.523042733784	345.565555720579	349.962441190964	327.602743868007	52.9586360781017	230.544676582949	243.450057779256	298.782983822388	205.585269505523	200.260021088632	279.927587468346	299.911659826485	176.032225014754	468.032844404619	483.466344320967	257.104027276687	471.843948505559	136.666991067091	342.773523053519	189.077834046912	368.911070190421	325.627315936922	205.534176180871	261.715336279876	251.151763480861	287.785681765168	517.859738081734	296.056505020993	313.204528627989	447.759536459525	231.712508606885	301.213143436144	304.91186640713	434.951499220703	198.743480054519	364.468693761822	214.809121103295
Class-switched memory B-cells	996.801867054677	125.267021468223	1129.33371124867	549.784429066355	1060.0120197642	1320.16507900246	1103.16598956848	188.032507220283	986.639541322765	695.287612451794	797.717934385568	1371.20822786617	940.675467085355	39.5902352762103	1191.27394874429	478.951741026848	736.990528753289	1171.28440295099	812.81088383539	780.153977983315	1347.91559255052	1010.58861007796	1240.60015684349	1414.92629179885	1222.1046365819	1431.63616063436	1650.43637777592	649.581340109887	1099.7186767293	1086.38998435033	529.29799782081	1034.8782841131	1112.34488912602	1135.64421279748	942.754006413814	1322.6299381526	1067.78708576968	1141.0733182366	1666.6253861676	907.838875756781	1097.56682686408	1182.572284989	1052.46153784054	882.134779877964	1430.92660724657	1012.53590617557	916.835611074445	826.467642876397	1231.0712508573	1066.87165778002	1639.90966604322
DC	486.027539603415	580.237861017012	325.076434135918	273.751559405698	153.181731401641	491.289261063095	477.44711139331	522.760417106627	468.220820567267	593.515679900827	464.370945287363	676.426964838121	673.756264781754	497.458441572321	493.659060270205	538.820740936005	539.865635653416	636.530308199651	1787.08147948523	1185.11440425812	1656.92155686085	855.731109474899	927.01473812717	1321.07932858573	661.756213998781	913.232385292545	1838.49570193455	621.703209146839	328.795974586643	502.463302520363	1746.23872870342	1458.10648719584	1888.49016080313	371.377814434781	462.004566429066	483.005582367033	1218.28381409871	994.247083771241	1857.61220958544	461.428535671616	470.308532182462	611.101441064714	300.387370489217	571.858884795535	1290.57830713955	222.668926218119	359.554333334596	595.735580583571	1306.14370169066	667.286449819865	1838.90236653916
Endothelial cells	368.800055580517	562.976629706827	318.117390851282	551.744383523766	526.205126047709	620.212869671504	417.235655661214	385.789755618962	579.441094345018	614.708719651553	571.228544870585	594.468328895596	525.519074289808	403.478635742635	468.180443428068	503.961940719145	559.073116248816	691.699984060256	393.98142373808	508.365766688517	565.643868922322	573.387433384216	464.910929772836	525.307183515266	535.519699602909	549.354365257448	564.844140864634	354.045107960799	663.039854986097	547.079981505347	697.725036387416	574.33036260323	620.287358868316	489.447190532258	362.806257161904	683.370532338767	487.885190769861	116.959858679582	637.692000979391	410.71376009256	548.169490772527	615.614675556691	589.400342579942	392.300317151386	622.154051034426	461.953922893421	576.668622622653	594.767154539812	353.10531027256	431.16340774268	638.566954861641
Eosinophils	802.111095631807	495.542461518985	749.307745678353	523.35466485407	570.454710684498	976.533645948044	752.308629840159	575.54685256739	496.309761869835	551.386236427959	603.621142358546	998.439958438333	890.804846378537	502.022373567577	638.987121733478	489.78636702052	519.632277698735	1041.86953753116	686.402742534556	624.4364734311	515.937816647044	550.202051569396	527.968186469574	688.04763901493	692.288753584386	674.882582255669	785.280277676507	774.320060213268	805.100735776814	959.982296379608	448.453397904275	712.401930841458	718.789990975167	543.735435693403	714.772676600931	1065.54119536756	705.790530413656	705.408202899764	727.343690725815	892.613360948613	1093.25276212253	1201.29494967647	751.432228066234	689.330001408306	877.656004802488	736.699177479701	902.723917421112	990.421846764131	619.976913668622	724.097851439354	855.68794544118
