	HD1_eTconv_PBMCs	HD1_nTconv_PBMCs	HD1_effector_CD8posT_PBMCs	HD1_naive_CD8posT_PBMCs	HD1_nTreg_PBMCs	HD1_eTreg_PBMCs	HD2_eTconv_PBMCs	HD2_nTconv_PBMCs	HD2_effector_CD8posT_PBMCs	HD2_naive_CD8posT_PBMCs	HD2_nTreg_PBMCs	HD2_eTreg_PBMCs	HD3_eTconv_PBMCs	HD3_nTconv_PBMCs	HD3_effector_CD8posT_PBMCs	HD3_naive_CD8posT_PBMCs	HD3_nTreg_PBMCs	HD3_eTreg_PBMCs	NSCLC5_eTconv_TILs	NSCLC5_effector_CD8posT_TILs	NSCLC5_eTreg_TILs	NSCLC6_eTconv_TILs	NSCLC6_effector_CD8posT_TILs	NSCLC6_eTreg_TILs	NSCLC7_eTconv_TILs	NSCLC7_effector_CD8posT_TILs	NSCLC7_eTreg_TILs	NSCLC1_eTconv_PBMCs	NSCLC1_effector_CD8posT_PBMCs	NSCLC1_eTreg_PBMCs	NSCLC1_eTconv_TILs	NSCLC1_effector_CD8posT_TILs	NSCLC1_eTreg_TILs	NSCLC2_eTconv_PBMCs	NSCLC2_effector_CD8posT_PBMCs	NSCLC2_eTreg_PBMCs	NSCLC2_eTconv_TILs	NSCLC2_effector_CD8posT_TILs	NSCLC2_eTreg_TILs	NSCLC3_eTconv_PBMCs	NSCLC3_effector_CD8posT_PBMCs	NSCLC3_eTreg_PBMCs	NSCLC3_eTconv_TILs	NSCLC3_effector_CD8posT_TILs	NSCLC3_eTreg_TILs	NSCLC4_eTconv_PBMCs	NSCLC4_effector_CD8posT_PBMCs	NSCLC4_eTreg_PBMCs	NSCLC4_eTconv_TILs	NSCLC4_effector_CD8posT_TILs	NSCLC4_eTreg_TILs
Neutrophils	0	0.0304	0.0265	0	0	0.0068	0.0058	0.0056	0.005	0	0	0	0	0.0032	0.0323	0	0	0	0.1256	0.0056	0.1607	0	0	0.1194	0.0132	0.0681	0.2326	0.0133	0	0	0.0195	0.0456	0.0446	0	0.0108	0	0.0883	0.0038	0.1078	0	4e-04	0.039	0.016	0.0443	0.023	0.0445	0.0243	0	0.0148	0	0.023
Osteoblast	0.0245	0	0.1316	0.1643	0	0.1463	0.0698	0.1428	0.1523	0.076	0.105	0.0866	0.2062	0.0889	0.1577	0.1964	0.1183	0.0969	0	0.0598	0	0.0546	0.1599	0.1452	0	0.0634	0.0901	0.0211	0.0339	0.005	0.017	0.0043	0.1016	0.0065	0.0983	0	0	0	0	0.0403	0.1092	0.0549	0	0.0541	0.08	0.1843	0.1298	0.0484	0.1575	0.2303	0.124
Pericytes	0.0427	0.128	0.0417	0.0937	0.0901	0.0823	0.0967	0.0943	0.0767	0.0919	0.0627	0.1187	0.1048	0.0888	0.0737	0.0677	0.0801	0.0988	0.0669	0.0946	0.0475	0.08	0.1027	0.0921	0.0739	0.044	0.0958	0.1167	0.1193	0.1453	0	0.1198	0.0255	0.0907	0.071	0.1081	0.0732	0.0665	0.1455	0.1209	0.0796	0.0937	0.0841	0.1302	0.1064	0.1344	0.077	0.0932	0.1277	0.1188	0.1345
Plasma cells	0	0.0469	0	0.0288	0	0	0	0.0088	0	0.0383	0.0077	0	0	0.0484	0	0.0578	0.0313	0	0	0.0886	0.0342	0.0178	0.0163	0.03	0	0	0	0	0	0	0.0598	0	0.0069	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0.0049	0	0	0
Platelets	0.043	0	0.0116	0	0.0243	0.0368	0.0652	0.0432	0.0142	0	0.0606	0.025	0	0.0017	0	0	0.0415	0.0059	0	0	0.0079	0	0	0	0.0303	0	0	0.0062	0.0203	0.0128	0.022	0	0.0044	0.0496	0	0.0195	0	0	0	0.0555	0	0.0472	0.0464	0	0.0324	0.0481	0.0124	0.0218	0.0063	0	0
Preadipocytes	0.0333	0.044	0	0.043	0.0858	0.0301	0	0.0623	0	0	0.0615	0	0	0.0349	0.0122	0	0.0363	0.0029	0	0.0099	0.007	0.0445	0	0.0338	0.0165	0.0437	0.0857	0.0158	0.0665	0	0.039	0.1007	0.1133	0.0604	0.0577	0.1046	0.1048	0.0624	0.0832	0.0653	0.0375	0.0281	0.0265	0.0397	0.0484	0.1172	0.0167	0	0.1309	0.0559	0.1381
Sebocytes	0.0029	0.0061	0	9e-04	0.0039	0.0025	0.0045	0.0016	0	0.0064	0.002	0	0	0.0037	0	0.0045	0.0044	0	0.0053	0.0048	0.0086	0.0052	0.0014	0.0027	0.0063	0.0048	0.0022	0.0054	0	0	0.0229	0.0176	0.0192	0	0.0021	0	0	0.0018	0	0	5e-04	0	0.0016	0	0	0	0	0.0027	2e-04	0	0
Skeletal muscle	0.01	0.0251	0.0211	0.017	0.0188	0.0263	0.0134	0.0168	0.0363	0.0161	0.0256	0.046	0	0.0083	0.0223	0	8e-04	0.0414	0	0.0058	0.0119	0.0273	0.0261	0.0218	0.0219	0.0223	0.02	0.0407	0.0309	0.0183	0.0207	2e-04	0.0223	0.0316	0.0341	0.0409	0.0154	0.0212	0.0154	0.0251	0.0178	0.0175	0.0157	0.0278	0.0257	0.0119	0.0188	0.0262	0	0.0193	0
Smooth muscle	0	0	0.0586	0	0	0.046	0	0	0.0296	0	0.0267	0.0121	0	0	0.033	0	0	0.0518	0	0.0511	0	0.0163	0.069	0.0679	0.0892	0.0568	0.0614	0	0.0629	0	0	0.0325	0.0738	0	0.0487	0	0.0411	0.0602	0.0395	0	0	0.0464	0	0	0	0.0394	0.0426	0.0435	0.0123	0.0229	0.0551
Tgd cells	0.0548	0	0.084	0	0	0.0572	0.1441	0	0.0993	0	0	0.1415	0.0927	0	0.1105	0	0	0.1207	0.0568	0.1128	0.0325	0.136	0.157	0.0853	0.1195	0.1711	0.0351	0.1112	0.1135	0.0518	0.0777	0.1442	0.0919	0.0988	0.1022	0.0797	0.1036	0.165	0.0527	0.1	0.1363	0.0643	0.1003	0.1485	0.0771	0.0797	0.1314	0.067	0.0797	0.136	0.0595
Th1 cells	0.0783	0.0178	0.0916	0	0	0.1205	0.1251	0.018	0.1754	0.0454	0.0438	0.2113	0.1607	0.0811	0.1882	0.04	0.0893	0.1205	0.157	0.2613	0.2442	0.2754	0.2926	0.3453	0.2495	0.2471	0.2528	0.0706	0.1235	0.1425	0.1571	0.268	0.2804	0.1324	0.2046	0.1098	0.1805	0.2788	0.2358	0.0888	0.1424	0.0369	0.0713	0.2334	0.229	0.0773	0.1234	0.0731	0.0782	0.2607	0.1782
Th2 cells	0.1382	0	0.1084	0	0	0.1608	0.1188	0.028	0.1206	0	0.0317	0.1567	0.096	0	0.1489	0	0	0.1802	0.1194	0.096	0.1158	0.1292	0.1344	0.121	0.1479	0.1465	0.1531	0.0639	0.1661	0.0804	0.1637	0.1518	0.1713	0.067	0.114	0.0957	0.1508	0.1223	0.1278	0.0976	0.1631	0.1193	0.1667	0.13	0.0742	0.1126	0.1297	0.1222	0.132	0.1161	0.1287
Tregs	0.1814	0.0439	0	0	0.4756	0.5117	0.0472	0.0063	0	0	0.4424	0.4379	0.1177	0	0	0	0.4215	0.5132	0.0894	0.1626	0.4734	0.0794	0.0583	0.4211	0.1285	0.0131	0.4666	0.0497	0.0211	0.5732	0.1928	0.2147	0.4435	0.1042	0	0.5838	0.1725	0.1222	0.526	0.1524	0.0032	0.6243	0.1917	0.0686	0.5756	0.1276	0.0084	0.5243	0.2636	0.1981	0.5768
aDC	0.0057	0	0	0	0	0.0176	0.0071	0	0.0011	0	0	0.0565	8e-04	0	0.0252	0	0	0.0626	0.1648	0.0831	0.214	0.0753	0.0767	0.223	0.046	0.0566	0.2036	0.0029	0	0.0498	0.1419	0.142	0.2187	0.0275	0.0249	0.0673	0.1289	0.0868	0.2638	0.0423	0.0292	0.0671	0.0474	0.0395	0.2142	0.0267	0	0.0507	0.1286	0.0373	0.2531
cDC	0.0389	0.0792	0.0178	0.0032	0	0.0352	0.0041	0.0408	0	0.046	0.0178	0.0432	0.0316	0.0316	0.0193	0.0461	0.0081	0.0442	0.0137	0.0122	0.0326	0.0237	0.0297	0.0395	0.057	0.0056	0.0946	0	0	0.009	0.0383	0	0.0293	0	0.0142	0	0	0.0104	0	0.019	0	0	0	0.0098	0.0614	0.0104	0	0.0559	0	0	0.0066
iDC	0.045	0.0669	0	0.0534	0.0442	0.0498	0.015	0.0796	0.0219	0.0684	0.0762	0.039	0.0609	0.0389	0	0.0443	0.0448	0	0.1399	0.0921	0.1219	0.0264	0.0333	0.0075	0.1048	0.0512	0.1093	0	0.0496	0	0.1403	0.1085	0.1164	0.0274	0.028	0.0157	0.0893	0.0398	0.0978	0	0	0	0	0.018	0.0333	0	0.0054	0.0075	0.1229	0.0318	0.0871
ly Endothelial cells	0.0716	0.0966	0.08	0.0865	0.0923	0.0184	0.0458	0.0678	0.0901	0.1144	0.087	0.0251	0.0513	0.0457	0.0815	0.0856	0.1142	0.0337	0.0055	0.0233	0.042	0.0784	0.0358	0.0487	0.0418	0.0534	0.0464	0.0535	0.0841	0.0353	0.0766	0	0.0322	0.0737	0.0668	0.0468	0.0334	0	0.0596	0.0353	0.0785	0.034	0.033	0.0676	0.0482	0.0306	0.0955	0.0435	0	0.0058	0.0089
mv Endothelial cells	0	0	0.0151	0.0313	0.0016	0.0504	0.0566	0.0361	0.1106	0.0959	0.0171	0.0906	0.0868	0.029	0.0505	0.0534	0.0454	0.0657	0.0307	0.0264	0.0396	0.0896	0.0523	0.0651	0.0668	0.0045	0.0654	0.007	0.0345	0.0726	0	0	0	0.0738	0.0206	0.0843	0.0395	0	0.0889	0.0625	0.0495	0.0545	0.0638	0.0248	0.0491	0.0446	0.0291	0.0747	0	0.016	0.0236
naive B-cells	0.014	0.0222	0	0	0.0697	0	0	0.0199	0	0	0.0552	0	0.0031	0	0.0198	0	0.02	0	0.0057	0	0	0	0	0	0.0126	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123	0	0	0	0	0	0.0478	0	0
pDC	0.0463	0	0.1245	0.0345	0	0.0483	0.1073	0	0.1692	0	0.0339	0.0321	0.049	0	0.1546	0.0409	0.0229	0.0267	0.1426	0.1547	0.1226	0.1605	0.1745	0.1535	0.1475	0.1645	0.0632	0.1274	0.1366	0.021	0.2636	0.1484	0.2379	0.0785	0.1289	0.0233	0.1474	0.1365	0.1414	0.0521	0.1176	0	0.0823	0.1483	0.084	0.0237	0.1514	0.0314	0.0966	0.138	0.0203
pro B-cells	0.0328	0.0103	0.0507	0	0.0079	0.0672	0.0466	0	0.06	0.0141	0.0064	0.08	0.0679	0.0294	0.0281	0.0106	0.0423	0.0805	0	0.0173	0.0516	0	0.033	0.0628	0.036	0.0478	0.0483	0	0	0.0296	0.0215	0	0.1423	0.0173	0.0033	0.046	0	0	0.0406	0	0	0	0.0057	0	0.0406	0	0	0.024	0	0	0
ImmuneScore	0.3903	0.2711	0.5781	0.3077	0.2472	0.3179	0.3958	0.3055	0.5503	0.3462	0.2543	0.3205	0.3467	0.2997	0.5584	0.3261	0.2931	0.3559	0.8305	0.7019	0.5524	0.3545	0.5473	0.3773	0.4219	0.6103	0.6912	0.3693	0.5497	0.2708	0.6464	0.6645	0.5463	0.3379	0.4589	0.3167	0.5463	0.5844	0.4675	0.3393	0.6281	0.3653	0.3893	0.5727	0.3777	0.3047	0.5652	0.2242	0.5315	0.5507	0.5085
StromaScore	0.0102	0.0208	0.0213	0.0144	0.0396	0.0486	0.0019	0.0046	0.039	0.0217	0.0326	0.0384	0.0099	0.005	0.0342	0.0027	0	0.0438	0.0052	0.0162	0.0466	0.033	0.0292	0.0248	0.0304	0.0211	0.0219	0.0034	0.0665	0.0062	0.0562	0.0378	0.0449	0.0257	0.0264	0.0134	0.034	0.0091	0.061	0.0462	0.0204	0.0824	0.0284	0.0224	0.0414	0.0483	0.037	0.04	0.0772	0.0311	0.0712
MicroenvironmentScore	0.4005	0.2919	0.5994	0.3221	0.2868	0.3665	0.3977	0.3101	0.5893	0.3679	0.2869	0.3589	0.3566	0.3047	0.5926	0.3288	0.2931	0.3997	0.8357	0.7181	0.599	0.3875	0.5765	0.4021	0.4523	0.6314	0.7131	0.3727	0.6162	0.277	0.7026	0.7024	0.5912	0.3636	0.4853	0.3301	0.5804	0.5935	0.5284	0.3856	0.6485	0.4477	0.4177	0.5952	0.4191	0.353	0.6023	0.2642	0.6086	0.5818	0.5797
