,HD1_eTconv_PBMCs,HD1_nTconv_PBMCs,HD1_effector_CD8posT_PBMCs,HD1_naive_CD8posT_PBMCs,HD1_nTreg_PBMCs,HD1_eTreg_PBMCs,HD2_eTconv_PBMCs,HD2_nTconv_PBMCs,HD2_effector_CD8posT_PBMCs,HD2_naive_CD8posT_PBMCs,HD2_nTreg_PBMCs,HD2_eTreg_PBMCs,HD3_eTconv_PBMCs,HD3_nTconv_PBMCs,HD3_effector_CD8posT_PBMCs,HD3_naive_CD8posT_PBMCs,HD3_nTreg_PBMCs,HD3_eTreg_PBMCs,NSCLC5_eTconv_TILs,NSCLC5_effector_CD8posT_TILs,NSCLC5_eTreg_TILs,NSCLC6_eTconv_TILs,NSCLC6_effector_CD8posT_TILs,NSCLC6_eTreg_TILs,NSCLC7_eTconv_TILs,NSCLC7_effector_CD8posT_TILs,NSCLC7_eTreg_TILs,NSCLC1_eTconv_PBMCs,NSCLC1_effector_CD8posT_PBMCs,NSCLC1_eTreg_PBMCs,NSCLC1_eTconv_TILs,NSCLC1_effector_CD8posT_TILs,NSCLC1_eTreg_TILs,NSCLC2_eTconv_PBMCs,NSCLC2_effector_CD8posT_PBMCs,NSCLC2_eTreg_PBMCs,NSCLC2_eTconv_TILs,NSCLC2_effector_CD8posT_TILs,NSCLC2_eTreg_TILs,NSCLC3_eTconv_PBMCs,NSCLC3_effector_CD8posT_PBMCs,NSCLC3_eTreg_PBMCs,NSCLC3_eTconv_TILs,NSCLC3_effector_CD8posT_TILs,NSCLC3_eTreg_TILs,NSCLC4_eTconv_PBMCs,NSCLC4_effector_CD8posT_PBMCs,NSCLC4_eTreg_PBMCs,NSCLC4_eTconv_TILs,NSCLC4_effector_CD8posT_TILs,NSCLC4_eTreg_TILs
CMP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.29829,1,1,1,1,1,1,1,1,1,1,1,0.3777,1,1,1,1,0.832996667,1,1,0.585783333,1,1,1,1,0.438936667,0.31526,1,1,0.792723333,1,0.637256667,0.133073333,1
Chondrocytes,0.276903333,1,0.0804,1,0.29894,0.138396667,1,0.264276667,0.090126667,1,0.10348,1,1,1,1,1,1,1,1,1,0.26028,1,1,1,0.146196667,0.303476667,1,0.02017,0,1,0.011163333,0.23788,1,0.24132,0.005743333,1,0.34159,0.04422,1,0.10713,0,0.236223333,0.584866667,0,1,0.006423333,0.004446667,0,1,0,0.908283333
Class-switched memory B-cells,0,1,0,0,0,0,0,0.578333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,0.374523333,0.05718,1,1,1,1,0.78555,0.236436667,1,0.158426667,0.511533333,0.488456667,0.07969,0.377096667,0.742786667,0.172796667,0.632386667,0.75419,0,0,0,0.029843333,0.045486667,0,0.095126667,0.05189,0,0.6636,1,1,0,0,0,1,0.850943333,1,0,0.007253333,0,0.94225,1,1,1,0.899143333,0,1,1,0.838036667,0,0.62923,0
Endothelial cells,0.768663333,0.001,0.24736,0,0,0,0.47199,0.18132,0,0,0,0,0.00529,1,0,0.36008,1,0,0.78385,0,0,0,0,0,0,0,0,1,0,0.08446,0,0,0,0,0.031403333,0,0,1,0,0,0,0,0,0.015513333,0,0,0,0,0,0,0
Eosinophils,0.22559,1,0.286556667,1,1,0.027533333,0.29312,1,1,1,1,0.01972,0.105203333,1,0.741633333,1,1,0.007453333,1,1,1,1,1,0.58612,0.464463333,0.966713333,0.508863333,1,0.222733333,0.084143333,1,0.60822,0.161916667,1,0.52042,0.010086667,1,0.650306667,0.60623,0.12276,0.009793333,0.00037,0.321203333,0.960883333,0.106033333,0.548576667,0.087273333,0.04147,1,0.731293333,0.12816
Epithelial cells,0.07257,0.03204,0.370103333,0.162923333,0.17683,0,0,0.001116667,0.00349,0,0.001303333,0.1394,0.0006,0,0.078093333,0.00021,0,0.02923,0,0,0,0.22957,0.22114,0.001053333,0.16955,8.00E-05,0,0,0.378156667,0.099403333,0,0,0,0.02349,1,0.388903333,0.118553333,0.223313333,1,0.000143333,0.001713333,0.011573333,0,1,0.012403333,2.00E-05,0.23752,0,0,0,0
Erythrocytes,1,0.365886667,1,1,1,1,1,0.53714,1,1,1,0.02177,1,1,0.004986667,0.223493333,1,0.026243333,1,1,1,0.000836667,0.05874,0.006016667,0.001426667,0.014826667,1,1,0.256193333,0.88957,1,0.000956667,0.008523333,1,1,0.15859,1,1,0.097763333,1,1,1,1,1,0.297276667,0.005026667,0.00077,0.00931,0.022636667,0.043533333,0.030376667
Fibroblasts,1,1,0.460286667,1,0.3398,0.425206667,1,1,0.626236667,1,0.48107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.499003333,1,1,1,1,1,1,1,1,1,0.619903333,0.210536667,1,0.002053333,0.742293333,0.67071,0.74691,0.17158,1,0.379546667,0.003173333,0.45661,0.226283333
GMP,0.621686667,0.365843333,1,1,1,1,1,0.44575,1,0.890536667,0.29881,1,1,0.24401,1,0.527866667,0.323456667,1,0.506556667,1,1,1,1,1,1,0.789676667,0.34961,0.512556667,0.840413333,0.70675,0.51336,1,1,1,1,0.629336667,1,0.71327,0.227023333,1,1,1,1,1,1,1,1,0.741303333,1,0.799436667,1
HSC,1,0.211976667,1,0.621233333,0.068216667,0.08014,0.48395,0.26368,1,0.23256,0.015676667,0.508453333,1,0.151086667,1,0.609713333,0.180373333,1,1,0.180163333,0.083393333,0.26173,0.28865,0.105873333,0.137486667,1,0.127986667,1,0.685586667,1,0.30673,0.205623333,0.03686,0.194276667,1,0.18176,0.27453,1,0.76621,0.744616667,1,0.561503333,0.33256,1,0,0.548563333,1,0.460496667,0.136203333,1,0.095166667
Hepatocytes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.654613333,1,0.028566667,1,1,0.76519,1,1,0.183686667,1,1,1,0.638906667,1,0.011746667,1,1,1,1,1,0.340226667,1,1,1,1,1,1,1,1,1,0.99694,1,0.210173333
Keratinocytes,0.046996667,0,1,0.004786667,0.05117,1,0.026266667,0.191446667,1,0.03546,0.983996667,1,1,0,1,0.002116667,0,1,0,0,0,0.033383333,0.110433333,0,0.281,1,0,0.05844,1,1,0,0,0,0.18198,1,1,0.252743333,0.991216667,1,1,1,1,0.08597,1,0.018986667,1,1,1,1,0.27543,0
MEP,0.160496667,0.01853,0.21463,0.070726667,0.09405,0,0,0.030943333,0.024316667,0,0,0.01268,0,0,0.058256667,0,0,0.04002,0.068486667,0.046326667,0,0.100436667,0.03397,0,1,0.152526667,0,1,0.140616667,0.11683,0,0.853363333,0,0.10863,0.216,0.12903,1,1,0.011653333,0.117286667,0.514506667,1,1,1,0.050703333,0.080356667,0.162793333,0.15752,0.207063333,1,0.061356667
MPP,0.099463333,0.048156667,0.025596667,8.67E-05,0.48531,0.60008,0.00209,0.383823333,0.110233333,0.05525,0.226626667,0.257146667,0.035636667,0.134113333,0.368326667,4.33E-05,0.045436667,0.016336667,0.20324,0.31835,0.76494,0.235106667,0.239916667,0.137203333,0.269733333,0.072476667,0.304223333,0,0.28896,0.03947,0.22547,1,0.94971,0.391956667,0.14874,0.016673333,0.792276667,0.06157,0.400083333,0.09416,0.068556667,0.253416667,0.138153333,0.12654,0.56452,0.674243333,0.03688,0.069856667,1,0.259976667,1
