,HD1_eTconv_PBMCs,HD1_nTconv_PBMCs,HD1_effector_CD8posT_PBMCs,HD1_naive_CD8posT_PBMCs,HD1_nTreg_PBMCs,HD1_eTreg_PBMCs,HD2_eTconv_PBMCs,HD2_nTconv_PBMCs,HD2_effector_CD8posT_PBMCs,HD2_naive_CD8posT_PBMCs,HD2_nTreg_PBMCs,HD2_eTreg_PBMCs,HD3_eTconv_PBMCs,HD3_nTconv_PBMCs,HD3_effector_CD8posT_PBMCs,HD3_naive_CD8posT_PBMCs,HD3_nTreg_PBMCs,HD3_eTreg_PBMCs,NSCLC5_eTconv_TILs,NSCLC5_effector_CD8posT_TILs,NSCLC5_eTreg_TILs,NSCLC6_eTconv_TILs,NSCLC6_effector_CD8posT_TILs,NSCLC6_eTreg_TILs,NSCLC7_eTconv_TILs,NSCLC7_effector_CD8posT_TILs,NSCLC7_eTreg_TILs,NSCLC1_eTconv_PBMCs,NSCLC1_effector_CD8posT_PBMCs,NSCLC1_eTreg_PBMCs,NSCLC1_eTconv_TILs,NSCLC1_effector_CD8posT_TILs,NSCLC1_eTreg_TILs,NSCLC2_eTconv_PBMCs,NSCLC2_effector_CD8posT_PBMCs,NSCLC2_eTreg_PBMCs,NSCLC2_eTconv_TILs,NSCLC2_effector_CD8posT_TILs,NSCLC2_eTreg_TILs,NSCLC3_eTconv_PBMCs,NSCLC3_effector_CD8posT_PBMCs,NSCLC3_eTreg_PBMCs,NSCLC3_eTconv_TILs,NSCLC3_effector_CD8posT_TILs,NSCLC3_eTreg_TILs,NSCLC4_eTconv_PBMCs,NSCLC4_effector_CD8posT_PBMCs,NSCLC4_eTreg_PBMCs,NSCLC4_eTconv_TILs,NSCLC4_effector_CD8posT_TILs,NSCLC4_eTreg_TILs
NK cells,0.1115,1,0,1,1,1,0,1,0,1,1,1,0.797886667,1,0,1,1,1,0,0,1,0,0,0.274096667,0,0,1,0,0,1,0,0,0.13674,0.001486667,0,1,0,0,1,0.46857,0,1,0.00405,0,0.416406667,1,0,1,0.194726667,0,1
NKT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526667,0,0.00026,0,0,0,0,0,0,0,0,0,1,0.041076667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00379,0
Neurons,0.455816667,0.00158,0.618656667,0.005286667,0.00935,0.516,1,0.00042,0.997233333,0.00816,0.04548,1,0.510253333,0.002036667,0.953546667,0.10468,0.4342,1,1,0.52179,0.210453333,0.180833333,0.493343333,0.08768,0.090953333,0.195573333,0.64706,0.832586667,0.21548,0.618656667,0,1,0.028036667,0.54635,0.994043333,1,0.867316667,0.55252,0.00085,0.161956667,1,0.75901,0.571613333,0.127676667,0.078316667,0.015056667,0.846603333,1,0.016783333,0.477406667,1
Neutrophils,1,0.234133333,0.297456667,1,1,0.749306667,0.779233333,0.78533,0.804116667,1,1,1,1,0.86303,0.205546667,1,1,1,0,0.78533,0,1,1,0,0.577066667,0.003463333,0,0.574683333,1,1,0.432676667,0.06503,0.071506667,1,0.637766667,1,0,0.84269,0,1,0.973503333,0.12148,0.509776667,0.073693333,0.361806667,0.07225,0.3374,1,0.538326667,1,0.361806667
Osteoblast,0.34955,1,0,0,1,0,0.007616667,0,0,0.00102,0,0,0,0,0,0,0,0,1,0.030273333,1,0.0531,0,0,1,0.019413333,0,0.402896667,0.225413333,0.75176,0.475016667,0.772976667,0,0.709456667,0,1,1,1,1,0.157513333,0,0.05176,1,0.055663333,0,0,0,0.09094,0,0,0
Pericytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasma cells,1,7.33E-05,1,0.03614,1,1,1,0.350226667,1,0.006693333,0.384306667,1,1,0,1,0,0.021283333,1,1,0,0.013933333,0.162083333,0.186616667,0.02817,1,1,1,1,1,1,0,1,0.411716667,1,1,1,1,1,0.374316667,1,1,1,1,1,1,1,1,0.49635,1,1,1
Platelets,0.19997,1,0.758576667,1,0.438673333,0.23346,0.120036667,0.199243333,0.693586667,1,0.135956667,0.422573333,1,0.970246667,1,1,0.205676667,0.88881,1,1,0.845403333,1,1,1,0.314096667,1,1,0.88242,0.536526667,0.72892,0.494453333,1,0.919636667,0.175373333,1,0.557203333,1,1,1,0.154336667,1,0.184453333,0.187343333,1,0.280793333,0.181136667,0.738776667,0.49953,0.88037,1,1
Preadipocytes,0.059163333,0.02339,1,0.02578,0,0.074203333,1,0.00049,1,1,0.000713333,1,1,0.052403333,0.322613333,1,0.046943333,0.762063333,1,0.40481,0.531746667,0.022093333,1,0.056906667,0.208213333,0.024053333,0,0.223946667,3.33E-06,1,0.037563333,0,0,0.001046667,0.0024,0,0,0.000473333,0,4.33E-05,0.04269,0.084743333,0.093803333,0.03529,0.013946667,0,0.203963333,1,0,0.00381,0
Sebocytes,0.192516667,0.029086667,1,0.314966667,0.12652,0.22028,0.091996667,0.279343333,1,0.022033333,0.254213333,1,1,0.139056667,1,0.091996667,0.097313333,1,0.055276667,0.077046667,0.00061,0.059176667,0.290593333,0.20636,0.024166667,0.077046667,0.240923333,0.05133,1,1,0,0,0,1,0.247626667,1,1,0.267186667,1,1,0.327446667,1,0.279343333,1,1,1,1,0.20636,0.33242,1,1
